"drug_chembl_id","target_uniprot_id","action_type","parent_action_type","disease_efficacy","LINK_FUNCTION","source","refresh_date"
"CHEMBL17976","O35433","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL28","P13569","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL257991","Q96EB6","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL17976","Q704Y3","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL102740","Q9UHC3","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1734767","Q9Y210","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL279107","Q14571","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL17976","Q8NER1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL744","Q9UGI6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1325783","Q86XQ3","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1893588","Q9EPK8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL679","P00915","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1907717","P51787","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL744","P70604","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1863513","Q05655","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL744","Q9NYG8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL4303589","Q12791","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL931","P57789","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL1325783","Q8NEC5","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL550762","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL169233","Q704Y3","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1366","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL744","P70605","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1863513","P05771","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1979562","P04775","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL940","O43525","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL472566","P70604","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL170721","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1200471","O43526","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1255655","O15554","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1709719","Q9H2S1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL8320","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL103","Q86XQ3","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL744","Q92952","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL135","Q12791","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1255655","Q9UGI6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1255655","Q9H2S1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1325783","Q96P56","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1200471","Q9NR82","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL15594","Q05513","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL650","Q9UL62","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL184238","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL267476","P57789","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1089334","P14618","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL545","P63250","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1327143","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL744","O95069","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1325783","Q7RTX7","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL744","O15554","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL316966","P17612","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL316966","P22612","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL316966","P22694","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL316966","P10644","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL316966","P31321","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL316966","P13861","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL316966","P31323","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL17962","P00915","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL931","O54912","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL63323","P51800","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1201534","P01008","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL470670","Q8R455","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1709719","O15554","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL90","P43166","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL169233","Q9WTR1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL439496","P35498","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL470670","Q8R4D5","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL323727","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1201460","P01008","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL4650326","P08581","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL940","Q9NR82","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL181","Q61743","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL76903","Q704Y3","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL17962","P43166","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
