"from","to","driver_mechanism","relationship","LINK_FUNCTION","refresh_date","source"
"ABCB1 GoF","ABCB1","GoF","activates",1,"04 April 2023","Intogen"
"ABL1 GoF","ABL1","GoF","activates",1,"04 April 2023","Intogen"
"ABL2 GoF","ABL2","GoF","activates",1,"04 April 2023","Intogen"
"ACKR3 GoF","ACKR3","GoF","activates",1,"04 April 2023","Intogen"
"ACSL3 GoF","ACSL3","GoF","activates",1,"04 April 2023","Intogen"
"ACVR2A LoF","ACVR2A","LoF","inhibits",-1,"04 April 2023","Intogen"
"AFF1 GoF","AFF1","GoF","activates",1,"04 April 2023","Intogen"
"AJUBA LoF","AJUBA","LoF","inhibits",-1,"04 April 2023","Intogen"
"AKT1 GoF","AKT1","GoF","activates",1,"04 April 2023","Intogen"
"ALB GoF","ALB","GoF","activates",1,"04 April 2023","Intogen"
"ALK GoF","ALK","GoF","activates",1,"04 April 2023","Intogen"
"AMER1 LoF","AMER1","LoF","inhibits",-1,"04 April 2023","Intogen"
"APC LoF","APC","LoF","inhibits",-1,"04 April 2023","Intogen"
"AR GoF","AR","GoF","activates",1,"04 April 2023","Intogen"
"ARAF GoF","ARAF","GoF","activates",1,"04 April 2023","Intogen"
"ARHGAP35 LoF","ARHGAP35","LoF","inhibits",-1,"04 April 2023","Intogen"
"ARHGAP5 LoF","ARHGAP5","LoF","inhibits",-1,"04 April 2023","Intogen"
"ARHGEF10L LoF","ARHGEF10L","LoF","inhibits",-1,"04 April 2023","Intogen"
"ARHGEF12 GoF","ARHGEF12","GoF","activates",1,"04 April 2023","Intogen"
"ARID1A LoF","ARID1A","LoF","inhibits",-1,"04 April 2023","Intogen"
"ARID1B LoF","ARID1B","LoF","inhibits",-1,"04 April 2023","Intogen"
"ARID2 LoF","ARID2","LoF","inhibits",-1,"04 April 2023","Intogen"
"ASXL1 LoF","ASXL1","LoF","inhibits",-1,"04 April 2023","Intogen"
"ASXL2 LoF","ASXL2","LoF","inhibits",-1,"04 April 2023","Intogen"
"ATF7IP LoF","ATF7IP","LoF","inhibits",-1,"04 April 2023","Intogen"
"ATG7 LoF","ATG7","LoF","inhibits",-1,"04 April 2023","Intogen"
"ATM LoF","ATM","LoF","inhibits",-1,"04 April 2023","Intogen"
"ATR LoF","ATR","LoF","inhibits",-1,"04 April 2023","Intogen"
"ATRX LoF","ATRX","LoF","inhibits",-1,"04 April 2023","Intogen"
"AXIN1 LoF","AXIN1","LoF","inhibits",-1,"04 April 2023","Intogen"
"AXIN2 LoF","AXIN2","LoF","inhibits",-1,"04 April 2023","Intogen"
"B2M LoF","B2M","LoF","inhibits",-1,"04 April 2023","Intogen"
"BAP1 LoF","BAP1","LoF","inhibits",-1,"04 April 2023","Intogen"
"BCL11A GoF","BCL11A","GoF","activates",1,"04 April 2023","Intogen"
"BCL11B GoF","BCL11B","GoF","activates",1,"04 April 2023","Intogen"
"BCL2 GoF","BCL2","GoF","activates",1,"04 April 2023","Intogen"
"BCL6 GoF","BCL6","GoF","activates",1,"04 April 2023","Intogen"
"BCL7A GoF","BCL7A","GoF","activates",1,"04 April 2023","Intogen"
"BCL9 GoF","BCL9","GoF","activates",1,"04 April 2023","Intogen"
"BCL9L GoF","BCL9L","GoF","activates",1,"04 April 2023","Intogen"
"BCLAF1 GoF","BCLAF1","GoF","activates",1,"04 April 2023","Intogen"
"BCOR LoF","BCOR","LoF","inhibits",-1,"04 April 2023","Intogen"
"BCORL1 LoF","BCORL1","LoF","inhibits",-1,"04 April 2023","Intogen"
"BCR GoF","BCR","GoF","activates",1,"04 April 2023","Intogen"
"BIRC3 GoF","BIRC3","GoF","activates",1,"04 April 2023","Intogen"
"BMPR1A LoF","BMPR1A","LoF","inhibits",-1,"04 April 2023","Intogen"
"BMPR2 LoF","BMPR2","LoF","inhibits",-1,"04 April 2023","Intogen"
"BRAF GoF","BRAF","GoF","activates",1,"04 April 2023","Intogen"
"BRCA1 LoF","BRCA1","LoF","inhibits",-1,"04 April 2023","Intogen"
"BRCA2 LoF","BRCA2","LoF","inhibits",-1,"04 April 2023","Intogen"
"BRD4 GoF","BRD4","GoF","activates",1,"04 April 2023","Intogen"
"BRD7 LoF","BRD7","LoF","inhibits",-1,"04 April 2023","Intogen"
"BTK GoF","BTK","GoF","activates",1,"04 April 2023","Intogen"
"CAMTA1 LoF","CAMTA1","LoF","inhibits",-1,"04 April 2023","Intogen"
"CARD11 GoF","CARD11","GoF","activates",1,"04 April 2023","Intogen"
"CASP8 LoF","CASP8","LoF","inhibits",-1,"04 April 2023","Intogen"
"CASZ1 LoF","CASZ1","LoF","inhibits",-1,"04 April 2023","Intogen"
"CBFA2T3 GoF","CBFA2T3","GoF","activates",1,"04 April 2023","Intogen"
"CBFB GoF","CBFB","GoF","activates",1,"04 April 2023","Intogen"
"CBL GoF","CBL","GoF","activates",1,"04 April 2023","Intogen"
