"entrez_symbol","driver_mechanism","label","refresh_date","source"
"ABCB1","GoF","ABCB1 GoF","04 April 2023","Intogen"
"ABL1","GoF","ABL1 GoF","04 April 2023","Intogen"
"ABL2","GoF","ABL2 GoF","04 April 2023","Intogen"
"ACKR3","GoF","ACKR3 GoF","04 April 2023","Intogen"
"ACSL3","GoF","ACSL3 GoF","04 April 2023","Intogen"
"ACVR2A","LoF","ACVR2A LoF","04 April 2023","Intogen"
"AFF1","GoF","AFF1 GoF","04 April 2023","Intogen"
"AJUBA","LoF","AJUBA LoF","04 April 2023","Intogen"
"AKT1","GoF","AKT1 GoF","04 April 2023","Intogen"
"ALB","GoF","ALB GoF","04 April 2023","Intogen"
"ALK","GoF","ALK GoF","04 April 2023","Intogen"
"AMER1","LoF","AMER1 LoF","04 April 2023","Intogen"
"APC","LoF","APC LoF","04 April 2023","Intogen"
"AR","GoF","AR GoF","04 April 2023","Intogen"
"ARAF","GoF","ARAF GoF","04 April 2023","Intogen"
"ARHGAP35","LoF","ARHGAP35 LoF","04 April 2023","Intogen"
"ARHGAP5","LoF","ARHGAP5 LoF","04 April 2023","Intogen"
"ARHGEF10L","LoF","ARHGEF10L LoF","04 April 2023","Intogen"
"ARHGEF12","GoF","ARHGEF12 GoF","04 April 2023","Intogen"
"ARID1A","LoF","ARID1A LoF","04 April 2023","Intogen"
"ARID1B","LoF","ARID1B LoF","04 April 2023","Intogen"
"ARID2","LoF","ARID2 LoF","04 April 2023","Intogen"
"ASXL1","LoF","ASXL1 LoF","04 April 2023","Intogen"
"ASXL2","LoF","ASXL2 LoF","04 April 2023","Intogen"
"ATF7IP","LoF","ATF7IP LoF","04 April 2023","Intogen"
"ATG7","LoF","ATG7 LoF","04 April 2023","Intogen"
"ATM","LoF","ATM LoF","04 April 2023","Intogen"
"ATR","LoF","ATR LoF","04 April 2023","Intogen"
"ATRX","LoF","ATRX LoF","04 April 2023","Intogen"
"AXIN1","LoF","AXIN1 LoF","04 April 2023","Intogen"
